Cathegory,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antidepressants,32.54504504504504,28.911036036036037,26.6768018018018,25.12725225225225,24.25788288288288,24.78265765765765,25.153153153153152,28.445945945945947,28.754504504504503,28.02364864864865,29.9527027027027,30.95945945945946,27.36261261261261,29.948198198198195,32.76351351351352,33.78490990990991,31.18693693693693,32.645270270270274
Cars,37.08333333333333,34.09057971014492,32.007246376811594,30.81884057971014,33.619565217391305,35.46014492753623,38.289855072463766,37.528985507246375,39.01086956521739,41.86594202898551,43.33695652173913,46.938405797101446,47.55434782608695,48.985507246376805,48.96376811594202,49.90942028985508,50.55072463768117,58.387681159420296
Charities,30.766203703703702,29.21296296296296,23.849537037037035,22.756944444444443,23.39583333333333,23.50925925925926,24.11574074074074,22.46296296296296,20.75462962962963,20.28472222222222,21.030092592592595,21.20601851851852,19.72222222222222,20.604166666666668,19.953703703703702,20.59722222222222,21.069444444444443,19.821759259259256
Conspiracy Theories,17.77179487179487,15.267948717948718,12.77179487179487,12.689743589743587,14.625641025641023,13.95128205128205,14.42948717948718,16.367948717948718,17.12051282051282,16.676923076923078,15.77948717948718,15.517948717948718,16.320512820512818,15.917948717948718,14.780769230769229,14.93846153846154,16.234615384615385,12.611538461538462
Consumerism,18.78409090909091,18.00378787878788,20.90909090909091,23.62121212121212,26.299242424242426,28.416666666666664,34.416666666666664,33.20454545454545,32.74621212121212,35.38257575757576,35.928030303030305,36.53409090909091,37.10984848484848,40.15530303030303,40.54924242424242,40.06818181818182,49.50378787878788,45.9810606060606
Contraceptives,35.2,35.983333333333334,34.641666666666666,34.1,35.516666666666666,41.98333333333333,46.125,45.875,51.05833333333333,51.833333333333336,49.31666666666667,47.75833333333333,44.516666666666666,44.65,45.25,44.875,43.125,44.45833333333333
Crime,28.8,30.53333333333333,25.7,25.666666666666668,23.549999999999997,23.099999999999994,22.266666666666666,29.633333333333336,29.016666666666666,25.616666666666667,24.1,24.016666666666666,23.0,22.4,25.5,21.56666666666667,17.06666666666667,19.149999999999995
Education,58.30952380952381,53.52083333333333,48.69047619047619,47.63690476190476,46.98511904761904,46.925595238095234,44.42857142857143,42.13095238095239,40.3125,39.2470238095238,40.20833333333333,42.29166666666666,41.21428571428572,42.767857142857146,43.25595238095237,42.54464285714285,39.863095238095234,38.57142857142857
Emigration,7.666666666666666,13.958333333333334,6.083333333333334,7.375,8.25,9.875,6.25,10.541666666666666,10.708333333333334,12.791666666666668,11.416666666666668,12.875,14.708333333333334,15.583333333333334,14.083333333333332,13.708333333333332,21.08333333333333,19.45833333333333
Entertainment,11.932659932659933,10.745230078563411,9.95763187429854,10.285634118967453,10.31341189674523,10.8675645342312,10.888608305274971,12.25364758698092,12.613075196408529,13.19304152637486,13.517957351290685,13.030022446689111,12.048260381593716,10.616161616161616,10.561167227833892,10.653759820426489,11.369809203142536,11.181818181818182
Environmentalism,28.84523809523809,30.70833333333333,28.50595238095238,32.148809523809526,40.73809523809524,34.75595238095238,30.72023809523809,29.071428571428573,28.011904761904763,26.476190476190474,27.23809523809524,27.517857142857142,27.339285714285715,27.875,27.72023809523809,30.303571428571427,31.60119047619048,34.24404761904762
Gambling,21.77450980392157,18.950980392156865,19.49019607843137,19.01960784313725,17.676470588235293,17.053921568627448,22.534313725490197,15.338235294117649,15.946078431372548,16.058823529411764,15.617647058823527,16.166666666666664,20.24019607843137,22.11764705882353,20.46078431372549,22.55392156862745,24.073529411764707,32.26470588235294
Games,11.35,15.855555555555556,16.45,17.905555555555555,20.95,20.038888888888888,22.1,25.666666666666668,28.688888888888886,41.03333333333333,36.516666666666666,32.166666666666664,24.266666666666666,20.511111111111116,17.755555555555553,18.6,22.23333333333333,18.566666666666663
Guns,25.89583333333333,25.421875,26.208333333333336,24.609375,27.859375,30.38020833333333,28.453125,35.869791666666664,41.26041666666666,41.71875,33.89583333333333,34.020833333333336,35.791666666666664,33.203125,35.963541666666664,34.354166666666664,44.71874999999999,36.28125
Healthcare,30.4645390070922,27.43439716312057,25.29964539007092,25.29255319148936,27.29255319148936,29.927304964539005,28.59929078014185,29.45212765957447,30.5531914893617,30.351063829787236,30.40780141843972,31.390070921985814,31.74113475177305,34.819148936170215,36.40425531914894,37.76063829787234,39.45567375886525,43.03191489361702
Housing,30.04901960784313,29.480392156862745,28.779411764705884,26.97058823529412,25.51960784313725,27.94607843137255,26.887254901960784,27.54901960784313,29.37254901960784,29.04411764705882,29.818627450980397,31.09803921568627,34.7843137254902,36.01960784313726,34.35294117647059,33.3235294117647,33.666666666666664,37.31372549019608
Ideology,38.27020202020202,33.16161616161616,28.46717171717172,26.26515151515152,27.88888888888889,27.310606060606062,26.401515151515152,27.02525252525252,26.95959595959596,26.568181818181817,26.85606060606061,27.71212121212121,28.73989898989899,29.626262626262623,31.984848484848484,29.643939393939394,33.042929292929294,28.02525252525252
Illegal Drugs,38.770114942528735,38.35919540229885,35.79597701149425,32.62931034482759,31.948275862068964,32.89942528735632,32.7816091954023,35.997126436781606,37.770114942528735,40.48275862068966,41.27586206896552,41.91666666666666,44.83620689655172,46.44827586206897,51.61206896551724,53.29022988505746,47.49712643678161,47.53448275862069
Investing,22.392156862745097,21.15196078431373,20.024509803921568,19.294117647058822,18.647058823529413,16.602941176470587,15.539215686274508,15.269607843137251,14.20098039215686,14.710784313725489,15.602941176470589,15.936274509803924,15.95098039215686,21.71078431372549,23.784313725490197,20.52450980392157,30.387254901960787,47.70098039215686
Jobs,33.25,34.263888888888886,30.069444444444443,29.58333333333333,29.96527777777777,30.055555555555557,32.013888888888886,32.326388888888886,32.979166666666664,34.333333333333336,36.47916666666666,35.541666666666664,34.13888888888889,37.61805555555555,40.73611111111111,42.708333333333336,43.09027777777778,45.708333333333336
Legal Drugs,35.729166666666664,35.963541666666664,35.236979166666664,36.10416666666666,36.8359375,37.559895833333336,39.7109375,41.4921875,44.13541666666666,43.49479166666666,42.6796875,43.68229166666666,45.43229166666666,47.4921875,49.763020833333336,52.34635416666666,52.90625,54.903645833333336
Low income,35.782051282051285,33.41025641025641,34.59615384615385,36.929487179487175,42.5,52.49358974358974,49.833333333333336,55.26923076923077,50.96153846153846,49.19230769230769,49.12820512820512,44.96153846153846,42.77564102564103,42.44871794871795,42.86538461538461,41.75641025641026,40.179487179487175,36.32692307692308
Marriage,30.416666666666668,26.972222222222225,26.76388888888889,26.194444444444443,25.73611111111111,26.90277777777777,27.569444444444443,30.18055555555556,29.30555555555556,27.83333333333333,27.430555555555557,28.15277777777777,30.15277777777777,30.0,29.18055555555556,29.76388888888889,30.791666666666668,31.277777777777786
News,35.03974358974359,31.7025641025641,29.65897435897436,30.875641025641027,33.09102564102564,33.91153846153846,37.110256410256405,34.7474358974359,33.28333333333333,33.35512820512821,33.983333333333334,34.011538461538464,28.98333333333333,28.96538461538461,28.112820512820512,26.710256410256413,27.73974358974359,25.17820512820513
Other,58.97916666666666,52.895833333333336,46.47916666666667,43.4375,43.54166666666666,40.375,38.39583333333333,40.35416666666666,41.33333333333333,43.72916666666666,43.3125,41.895833333333336,37.875,32.91666666666666,30.9375,29.4375,32.97916666666667,30.75
Religion,41.637387387387385,40.69144144144144,36.99324324324324,34.83108108108108,34.86261261261261,34.49774774774775,35.25,37.4527027027027,37.93693693693694,37.67567567567568,38.13513513513514,40.12837837837838,38.07882882882883,36.88288288288288,36.69144144144144,36.76126126126126,36.15315315315316,36.68693693693694
S&P 500,33.92469262295082,32.4535519125683,31.388148907103822,31.32462431693989,31.20679644808743,30.81796448087432,29.476946721311474,29.73804644808743,28.776639344262296,28.91017759562841,30.12363387978142,31.084016393442624,28.355532786885245,29.78671448087432,31.46943306010929,32.321892076502735,33.00939207650273,31.783982240437155
Sports,15.053571428571429,14.55952380952381,16.910714285714285,17.041666666666668,17.595238095238095,18.38690476190476,21.11309523809524,19.84523809523809,21.321428571428573,22.065476190476183,25.13095238095238,25.369047619047617,25.88095238095238,23.672619047619044,26.72023809523809,24.89880952380952,20.416666666666664,28.214285714285715
Stats,30.5,27.75,27.08333333333333,26.5,30.0,32.166666666666664,36.41666666666666,36.5,36.41666666666666,35.833333333333336,39.25,44.41666666666666,47.0,52.083333333333336,55.91666666666666,55.75,49.833333333333336,41.91666666666666
Steroids,28.50877192982456,24.649122807017545,21.285087719298243,22.666666666666664,21.469298245614038,23.364035087719294,23.175438596491222,25.18859649122807,26.00877192982456,25.07456140350877,23.29824561403509,22.359649122807017,21.37719298245614,21.19736842105263,20.48684210526316,20.837719298245617,20.105263157894736,23.28070175438596
Tourism,34.71586345381526,32.380522088353416,30.28212851405622,29.75301204819277,27.427710843373493,27.986947791164656,27.99397590361446,28.01506024096385,27.34538152610441,26.41867469879518,27.158634538152608,29.44979919678715,30.070281124498,31.82329317269076,31.57128514056225,32.52911646586345,23.20582329317269,28.393574297188756
University,44.59397810218978,38.62226277372263,33.02068126520681,29.559914841849142,27.526155717761554,28.773418491484183,27.51277372262774,23.186435523114355,20.89993917274939,20.047141119221408,19.75608272506083,19.64993917274939,17.151459854014597,16.82785888077859,15.925486618004864,15.31234793187348,12.903588807785887,11.780109489051094
